sample-id	Location	Site layer	Site_layer	Site	Phasic_community	Type	Depth_group_new	Depth_cm	Depth_group_cm	Depth_layer	pH	Na	K	Sulfate	Nitrate	Phosphate	Remove
st1_1	Panama-South	Mangrove 0-4cm	Mangrove 0 to 30cm	SSPS1	Mangrove	Brackish	0-4cm	1	0_to_30	Acrotelm	6.97	9.8	10.99	2.03	0.03	1.23	
st1_2	Panama-South	Mangrove 16-30cm	Mangrove 0 to 30cm	SSPS1	Mangrove	Brackish	16-30cm	16	0_to_30	Acrotelm	7.06	24.5	21.08	4.97	0	0.36	
st1_3	Panama-South	Mangrove 31-60cm	Mangrove 30 to 100cm	SSPS1	Mangrove	Brackish	31-60cm	41	30_to_100	Catotelm	6.24	31.64	30.1	6.96	0	0.66	
st1_4	Panama-South	Mangrove 90-120cm	Mangrove 100 to 200cm	SSPS1	Mangrove	Brackish	90-120cm	113	100_to_200	Catotelm	5.71	24.37	24.08	5.48	0	0.02	
st1_5	Panama-South	Mangrove 130-200cm	Mangrove 100 to 200cm	SSPS1	Mangrove	Brackish	130-200cm	136	100_to_200	Catotelm	6.16	21.58	19.9	4.75	0	0.03	
st1_6	Panama-South	Mangrove 130-200cm	Mangrove 100 to 200cm	SSPS1	Mangrove	Brackish	130-200cm	181	100_to_200	Catotelm	5.76	30.53	22.76	7.81	0	0.02	
st1_7	Panama-South	Mangrove 130-200cm	Mangrove 100 to 200cm	SSPS1	Mangrove	Brackish	130-200cm	200	100_to_200	Catotelm	5.11	17.91	15.85	7.23	0	0.04	
st2_1	Panama-South	Mixed forest 0-4cm	Mixed forest 0 to 30cm	SSPS2	Mixed forest	Freshwater	0-4cm	1	0_to_30	Acrotelm	3.73	14.52	3.71	4.36	0.02	0.39	
st2_2	Panama-South	Mixed forest 5-15cm	Mixed forest 0 to 30cm	SSPS2	Mixed forest	Freshwater	5-15cm	11	0_to_30	Acrotelm	3.94	22.19	6.29	6.75	0.15	0.37	
st2_3	Panama-South	Mixed forest 16-30cm	Mixed forest 0 to 30cm	SSPS2	Mixed forest	Freshwater	16-30cm	23	0_to_30	Acrotelm	3.93	5.18	1.56	1.6	0.04	0.28	
st2_4	Panama-South	Mixed forest 31-60cm	Mixed forest 30 to 100cm	SSPS2	Mixed forest	Freshwater	31-60cm	48	30_to_100	Catotelm	3.66	4.61	3.83	2.01	0.04	0.29	
st2_5	Panama-South	Mixed forest 90-120cm	Mixed forest 30 to 100cm	SSPS2	Mixed forest	Freshwater	90-120cm	98	30_to_100	Catotelm	3.97	4.64	0.42	1.34	0.02	0.01	
st2_6	Panama-South	Mixed forest 130-200cm	Mixed forest 100 to 200cm	SSPS2	Mixed forest	Freshwater	130-200cm	183	100_to_200	Catotelm	4.2	6.46	0.47	3.6	0.17	0.01	
st2_7	Panama-South	Mixed forest 130-200cm	Mixed forest 100 to 200cm	SSPS2	Mixed forest	Freshwater	130-200cm	198	100_to_200	Catotelm	4.23	4.94	0.75	1.17	0.02	0.09	
st4_1	Panama-South	Stunted hardwood 0-4cm	Stunted hardwood 0 to 30cm	SSPS3	Stunted hardwood	Freshwater	0-4cm	1	0_to_30	Acrotelm	4.41	6.51	0.81	4.74	0.13	0.38	
st4_2	Panama-South	Stunted hardwood 5-15cm	Stunted hardwood 0 to 30cm	SSPS3	Stunted hardwood	Freshwater	5-15cm	12	0_to_30	Acrotelm	4.33	4.65	1.78	1.29	0.04	0.26	
st4_3	Panama-South	Stunted hardwood 16-30cm	Stunted hardwood 0 to 30cm	SSPS3	Stunted hardwood	Freshwater	16-30cm	23	0_to_30	Acrotelm	4.01	5.45	0.56	1.3	0.08	0.18	
st4_4	Panama-South	Stunted hardwood 31-60cm	Stunted hardwood 30 to 100cm	SSPS3	Stunted hardwood	Freshwater	31-60cm	48	30_to_100	Catotelm	3.94	3.1	0.45	0.86	0.11	0.25	
st4_5	Panama-South	Stunted hardwood 90-120cm	Stunted hardwood 30 to 100cm	SSPS3	Stunted hardwood	Freshwater	90-120cm	98	30_to_100	Catotelm	4.09	5.3	0.86	3.46	0.54	0.08	
