#OTU ID	st1_1	st1_2	st1_3	st1_4	st1_5	st1_6	st1_7	st2_1	st2_2	st2_3	st2_4	st2_5	st2_6	st2_7	st4_1	st4_2	st4_3	st4_4	st4_5	st4_6	st4_7	st5_1	st5_2	st5_3	st5_4	st5_5	st5_6	st5_7	ERR2094394	ERR2094401	ERR2094406	ERR2094408	ERR2094412	ERR2094415	ERR2094418	ERR2094423	ERR2094425	ERR2094426	ERR2094432	ERR2094436	ERR2094438	ERR2094439	ERR2094440	ERR2094441	ERR2094442	ERR2094443	ERR2094445	ERR2094446	ERR2094447	ERR2094452	ERR2094456	ERR2094458	ERR2094459	ERR2094460	ERR2094461	ERR2094462	SRR5311956	SRR5311957	SRR5311958	SRR5311959	SRR5311961	SRR5311962	SRR5311965	SRR5311968	SRR5311970	SRR5311971	SRR5311972	SRR5311977	SRR5311978	SRR5311982	SRR5311984	SRR5311986	SRR5311988	SRR5311990	SRR5311991	SRR5311992	SRR5312001	SRR5312005	SRR5312007	SRR5312008	SRR5312009	SRR5312010	SRR5312011	SRR5312013	SRR5312014	SRR5312015	SRR5312019	SRR5312021	SRR5312023	SRR5312024	SRR5312027	SRR5312029	SRR5312034
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae	0.000703817	0.000790401	0.000521847	0.001866443	0.00276921	0.002973386	0.002171395	0.017329505	0.011459245	0.033933832	0.016296491	0.005889298	0.007765092	0.005802504	0.019262852	0.016325229	0.009849987	0.0168852	0.00492329	0.005996957	0.006925625	0.032895461	0.007515976	0.025275353	0.011503139	0.008588341	0.00692643	0.016175941	0.068250157	0.04924629	0.052411924	0.056849575	0.090043005	0.113269795	0.033054115	0.033319836	0.075090677	0.047214376	0.034962738	0.116180371	0.053305683	0.10422277	0.126815543	0.046411054	0.140678412	0.054418047	0.096648603	0.045170133	0.054905119	0.063248489	0.101567363	0.119416484	0.087696661	0.122313713	0.077769718	0.117427398	0.076315336	0.067627145	0.102631367	0.099669411	0.098908863	0.090682611	0.177220863	0.102318481	0.112477518	0.113196676	0.095617644	0.057657236	0.071596468	0.065501255	0.053831421	0.067992303	0.083841253	0.084191149	0.054179036	0.092294572	0.152221673	0.115686301	0.115673385	0.084551072	0.102584244	0.083140506	0.124066443	0.101538053	0.075945749	0.107315903	0.098914826	0.101210516	0.077624476	0.096408518	0.080594958	0.056236154	0.068265183
d__Bacteria;p__Sumerlaeota;c__Sumerlaeia	0.000552013	0.000505857	0.000874446	0.001426495	0.001790867	0.001075197	0.000592199	0	0	9.91E-05	0	1.42E-05	0.000122178	0	3.09E-05	0	0	3.14E-05	3.99E-05	0.000164096	2.74E-05	0.000235979	1.34E-05	3.26E-05	0	3.14E-05	0.000120343	1.29E-05	0	0	0	0	0	0.000342131	0	0	0	0.000121749	0.000202097	0.000361707	0	0	0.000253479	0	0	0.000390747	0.00013153	0	0	0	8.49E-05	0	0.000606306	0	0	0.0001149	0	0	0	0	0	0	0.000332953	0	0	0	0	0	0	0	6.78E-05	0.000470387	0	0	0.000380604	0	0.00020437	0.000113196	0	0.000121168	0	0.000893354	9.66E-05	0.000154986	0	0	0.000182164	0	0	0	0	0	0
d__Bacteria;p__Desulfobacterota;c__Syntrophia	0.000303607	0.000189696	0.000437223	0.000679918	0.000646702	0.000172563	0.00014476	5.74E-05	0	0.000424881	0.000233641	2.85E-05	6.79E-05	0.000351667	0.007986283	0.000471587	2.66E-05	0.000455932	6.65E-05	0.00061163	0.000602228	0.000377566	0.000241154	0.00099535	0.001013023	7.85E-05	0.000294173	0.000514748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00070855	0	0	0.000889656	0.003556518	0.016148241	0	0	0	0	0	0	0	0.000847472	0.003976908	0	0	0.001008602	0	0.009860858	5.99E-05	6.23E-05	0.003320005	0	0.00054187	0	0	0.00049366	0	0.00023421	0	0	0	0.000177865	0	0
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae	0.000483012	0.000774593	0.001057798	0.007719074	0.008373959	0.010128095	0.005750908	0.230179469	0.123359359	0.15336789	0.110453995	0.038180861	0.04439135	0.021064847	0.12821305	0.174168135	0.148308864	0.063138698	0.02681197	0.017051049	0.014508226	0.27433336	0.16446725	0.17149384	0.11273876	0.048562591	0.049166956	0.040343337	0.304259415	0.379712511	0.397506775	0.353962407	0.266240046	0.202541544	0.388034839	0.319951409	0.305362219	0.255819616	0.347202223	0.197588618	0.305624115	0.297102695	0.326962561	0.37901482	0.29095451	0.259325831	0.309464934	0.41564865	0.393234589	0.379399377	0.359050529	0.339122716	0.248258815	0.342306474	0.458238487	0.354551461	0.347154051	0.365375531	0.476971507	0.425638077	0.419839339	0.444684982	0.403001703	0.424372567	0.35836933	0.366618941	0.437635699	0.437013737	0.416153146	0.384439633	0.352666994	0.399679282	0.48304329	0.516088653	0.570792418	0.434926137	0.417085342	0.430144758	0.480679564	0.450648249	0.425480227	0.420491491	0.380915207	0.437547972	0.556848888	0.400057568	0.508409885	0.382711924	0.436714711	0.418079246	0.504824581	0.611337977	0.434400014
d__Bacteria;p__Armatimonadota;c__Chthonomonadetes	0	0	0	1.33E-05	0	1.33E-05	0	0.000775305	0.00040385	0.000382393	0.000379667	0.000113803	0	3.52E-05	0.000108131	0.000124832	0.000346081	6.29E-05	0	0	1.37E-05	0.000676473	0.000241154	0.000391613	0.000159951	1.57E-05	0	2.57E-05	0.000194691	0.000379042	0	0.000297925	0.001502089	0.000268817	0.000380753	0	7.35E-05	0.000292198	0.000101048	0.000434049	5.84E-05	0	0.000126739	0.000184589	0.000591638	0.000442847	0.000368285	0	0	0.000183117	0	0	0	0.00233	0	0	0.002023594	0.000656065	0.000702236	0.001889078	0.001831646	0.000188994	0.001459873	0.000956247	0.000830092	0.000942869	0.000799909	0.001991065	0.001143511	0.003865517	0.001542399	0.001101133	0.003999007	0.00303365	0.000456725	0.00437402	0.001464652	0.001671305	0.001427874	0.001865988	0.002036556	0.001039806	0.001553245	0.002671666	0.000714508	0.001621492	0.000494444	0.000977435	0.002259578	0.000741604	0.001333986	0.001254437	0.001626222
d__Archaea;p__Crenarchaeota;c__Bathyarchaeia	0.034169634	0.041448648	0.086076556	0.223773147	0.218270156	0.339244707	0.46616571	0.005613783	0.006040923	0.217454113	0.338429637	0.724469039	0.778871347	0.819014629	0.352369624	0.130393775	0.008092963	0.666462283	0.813181111	0.735746039	0.739864772	0.078187682	0.350437427	0.37914661	0.630033456	0.774253819	0.71082823	0.688101611	0.001038354	0.036242237	0.03604336	0.021369373	0	0	0.028794441	0.030138254	0.016665033	0.103973897	0.062473159	0	0.00944898	0	0.000329523	0.035573018	0	0.000807544	0	0.016725265	0.023946097	0.001391687	0.017229672	0	0.014691251	0	0.002426395	0.027690805	0	0.001810738	0	0	0.001857812	0.0010996	0.005608985	0	0	0	0	0	0.000254113	0.003706114	0.003000051	0.018847552	0.000386111	0.001119211	0.076006699	0.000192567	0.010627246	0.000579297	0.000295959	0.018466012	0.00027639	0.037638031	0.000225341	0.000324733	0.010262939	0	0.002290056	0	0.000798841	0.004423138	0.003157099	0	0.001951466
d__Bacteria;p__Acidobacteriota;c__Aminicenantia	0.01393834	0.021736038	0.062663959	0.062312522	0.060590986	0.048848477	0.039243038	0	1.68E-05	2.83E-05	0.000569501	0.003911973	0.002864396	0.007209171	0	1.39E-05	3.99E-05	0.000959029	0.00240842	0.002431602	0.001656128	0	4.02E-05	0.001044301	0.000213268	0.001256064	0.001858637	0.003500283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003244629	0.003608061	0.007593899	0	0	0	0	0	0	0	0	0	4.60E-05	0	0.008487478	0	0.009077439	0	0	0.003513874	0	0.003617352	0	0	0.000805446	0	0.000182164	0	0	0.002807501	0	0	0.000487867
d__Bacteria;p__Cyanobacteria;c__Vampirivibrionia	0.000207005	0.000569089	7.05E-05	4.00E-05	4.97E-05	0	2.63E-05	0.006058866	0.002759642	0.002719239	0.003329391	0.000156479	0.000135753	0	0.000401631	0.001026395	0.000732094	0.000220105	0.000119756	0	2.74E-05	0.002721624	0.000616283	0.000669005	0.000159951	9.42E-05	0.000227315	0	0.005624419	0.002507508	0.002357724	0.004604301	0.003847816	0.00459433	0.003212603	0.002284954	0.004803451	0.004602123	0.007048124	0.005666747	0.003285967	0.001489715	0.003574054	0.007119878	0.006266982	0.002969678	0.004498343	0.003396699	0.002514438	0.003589086	0.001754088	0.003282697	0.001647907	0.00332534	0.000125072	0.001867119	0.008718677	0.001574555	0.002187424	0.003285353	0.002825968	0.002319468	0.000601877	0.008958529	0.006102716	0.003614332	0.005056565	0.005421052	0.002583487	0.006867603	0.004288208	0.002287791	0.007179827	0.004668287	0.001065692	0.002668427	0	0.006798418	0.009564161	0.001987156	0.01007368	0.002006385	0.007983518	0.006745587	0.002221472	0.009230031	0.004901068	0.010192062	0.001152613	0.001456722	0.003312731	0.004217044	0.005330394
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia	0.008252601	0.008473103	0.008631632	0.007425776	0.008274467	0.006968872	0.003882192	0.00086145	6.73E-05	0.000396556	0.000292052	4.27E-05	0.000149329	8.79E-05	0.001621972	0.000221923	9.32E-05	0.000141496	0.00017298	0.00210341	0.001574006	0.000188783	0.000174167	0.000587419	0.000213268	0.000219811	0.000454631	0.00029598	0.000951825	0	0.000298103	0.000108336	0	0	0.000142782	0	4.90E-05	0.000365248	7.58E-05	0.000361707	8.76E-05	5.73E-05	0	0.00010548	0	0	0.00013153	0	0	0.000201428	0.000141459	0	0.000466389	0	0	0	0	0.000131213	0	0	0	0	0.000230506	0	0	0	0	0	0	0	0.000186444	0.000555912	1.84E-05	0	0.000114181	0	0.00040874	0	0	7.27E-05	0	0.000102516	0	0	0.000129911	0	0.000208187	0	7.99E-05	0.000291344	0.000377963	5.34E-05	0.000126484
d__Bacteria;p__Chloroflexi;c__Dehalococcoidia	0.052662085	0.074092224	0.164536967	0.183831274	0.230424833	0.266702064	0.21646839	7.18E-05	0.000151444	0.000708135	0.002292607	0.004708594	0.009964297	0.032863272	0.001374815	0.000124832	0.000212973	0.006823256	0.008688941	0.05479309	0.06490378	0.000173051	0.000254552	0.006690055	0.021313464	0.005809298	0.009707699	0.020126628	0	0	0.000162602	0	0	0.000171065	0	0	0	0.00165579	0.000101048	0.000916325	0	0	0	0	0	0.001432739	0	0	7.86E-05	0	0	0	0.000559667	0	0	0	0.00045208	0.000734792	0	0	0.000811157	0.003625243	0.012485753	0	0	0.000104763	0	0	6.35E-05	0.000318806	0.000830523	0.002106051	8.27E-05	0	0.013340184	0	0.013505458	6.66E-05	0	0.003441173	0	0.00443748	0	0	0.00110424	1.92E-05	0.000511793	0	0.000547776	0.002092383	0.000622527	0	7.23E-05
