sample-id,depth-1_iter-1,depth-1_iter-2,depth-1_iter-3,depth-1_iter-4,depth-1_iter-5,depth-1_iter-6,depth-1_iter-7,depth-1_iter-8,depth-1_iter-9,depth-1_iter-10,depth-3790_iter-1,depth-3790_iter-2,depth-3790_iter-3,depth-3790_iter-4,depth-3790_iter-5,depth-3790_iter-6,depth-3790_iter-7,depth-3790_iter-8,depth-3790_iter-9,depth-3790_iter-10,depth-7579_iter-1,depth-7579_iter-2,depth-7579_iter-3,depth-7579_iter-4,depth-7579_iter-5,depth-7579_iter-6,depth-7579_iter-7,depth-7579_iter-8,depth-7579_iter-9,depth-7579_iter-10,depth-11368_iter-1,depth-11368_iter-2,depth-11368_iter-3,depth-11368_iter-4,depth-11368_iter-5,depth-11368_iter-6,depth-11368_iter-7,depth-11368_iter-8,depth-11368_iter-9,depth-11368_iter-10,depth-15157_iter-1,depth-15157_iter-2,depth-15157_iter-3,depth-15157_iter-4,depth-15157_iter-5,depth-15157_iter-6,depth-15157_iter-7,depth-15157_iter-8,depth-15157_iter-9,depth-15157_iter-10,depth-18946_iter-1,depth-18946_iter-2,depth-18946_iter-3,depth-18946_iter-4,depth-18946_iter-5,depth-18946_iter-6,depth-18946_iter-7,depth-18946_iter-8,depth-18946_iter-9,depth-18946_iter-10,depth-22735_iter-1,depth-22735_iter-2,depth-22735_iter-3,depth-22735_iter-4,depth-22735_iter-5,depth-22735_iter-6,depth-22735_iter-7,depth-22735_iter-8,depth-22735_iter-9,depth-22735_iter-10,depth-26524_iter-1,depth-26524_iter-2,depth-26524_iter-3,depth-26524_iter-4,depth-26524_iter-5,depth-26524_iter-6,depth-26524_iter-7,depth-26524_iter-8,depth-26524_iter-9,depth-26524_iter-10,depth-30313_iter-1,depth-30313_iter-2,depth-30313_iter-3,depth-30313_iter-4,depth-30313_iter-5,depth-30313_iter-6,depth-30313_iter-7,depth-30313_iter-8,depth-30313_iter-9,depth-30313_iter-10,depth-34103_iter-1,depth-34103_iter-2,depth-34103_iter-3,depth-34103_iter-4,depth-34103_iter-5,depth-34103_iter-6,depth-34103_iter-7,depth-34103_iter-8,depth-34103_iter-9,depth-34103_iter-10,Location,Site layer,Site_layer,Site,Phasic_community,Type,Depth_group_new,Depth_group_cm,Depth_layer
st1_1,1,1,1,1,1,1,1,1,1,1,909,877,901,880,881,882,883,889,914,891,1325,1338,1347,1328,1320,1312,1333,1325,1302,1331,1601,1649,1635,1662,1633,1649,1635,1648,1643,1653,1930,1903,1816,1895,1934,1846,1901,1893,1901,1880,2119,2111,2103,2110,2089,2080,2073,2092,2129,2126,2275,2274,2293,2306,2241,2263,2299,2312,2247,2302,2454,2450,2431,2405,2458,2422,2459,2416,2415,2418,2593,2563,2535,2607,2589,2562,2576,2582,2581,2601,2707,2702,2699,2711,2708,2676,2695,2721,2717,2710,Panama-South,Mangrove 0-4cm,Mangrove 0 to 30cm,SSPS1,Mangrove,Brackish,0-4cm,0_to_30,Acrotelm
st1_2,1,1,1,1,1,1,1,1,1,1,936,926,953,941,935,960,918,946,945,920,1383,1334,1355,1344,1380,1359,1367,1334,1382,1359,1632,1671,1669,1643,1659,1662,1662,1651,1628,1641,1876,1882,1871,1860,1885,1877,1866,1880,1911,1859,2059,2063,2042,2100,2033,2068,2048,2034,2066,2045,2247,2221,2197,2185,2206,2240,2214,2222,2223,2245,2337,2362,2349,2354,2349,2373,2367,2333,2373,2391,2502,2479,2488,2504,2486,2499,2457,2440,2483,2473,2579,2537,2579,2536,2576,2564,2581,2587,2569,2577,Panama-South,Mangrove 16-30cm,Mangrove 0 to 30cm,SSPS1,Mangrove,Brackish,16-30cm,0_to_30,Acrotelm
st1_3,1,1,1,1,1,1,1,1,1,1,1157,1117,1151,1123,1156,1156,1111,1141,1127,1217,1642,1637,1663,1665,1679,1657,1628,1659,1684,1628,2015,2055,2016,2018,2014,2005,2048,2029,2025,2024,2306,2295,2296,2329,2333,2316,2335,2297,2301,2313,2557,2531,2593,2545,2594,2609,2564,2575,2558,2548,2785,2749,2764,2746,2739,2781,2754,2729,2758,2783,2898,2916,2975,2933,2959,2901,2925,2971,2921,2906,3081,3082,3072,3080,3069,3125,3102,3085,3054,3108,3181,3238,3235,3221,3259,3219,3238,3223,3229,3230,Panama-South,Mangrove 31-60cm,Mangrove 30 to 100cm,SSPS1,Mangrove,Brackish,31-60cm,30_to_100,Catotelm
st1_4,1,1,1,1,1,1,1,1,1,1,1096,1125,1112,1115,1132,1122,1146,1120,1121,1168,1620,1685,1662,1651,1640,1649,1640,1655,1703,1630,2020,2003,2043,2036,2048,2061,2040,2001,2081,2047,2372,2306,2337,2312,2292,2338,2355,2378,2326,2365,2622,2587,2587,2619,2602,2584,2604,2638,2593,2591,2762,2813,2844,2794,2756,2777,2782,2811,2814,2803,3076,2999,2993,2958,2997,2970,3013,3010,3013,3004,3162,3150,3118,3153,3170,3160,3198,3166,3172,3174,3311,3299,3332,3331,3316,3361,3291,3299,3335,3332,Panama-South,Mangrove 90-120cm,Mangrove 100 to 200cm,SSPS1,Mangrove,Brackish,90-120cm,100_to_200,Catotelm
st1_5,1,1,1,1,1,1,1,1,1,1,1028,1092,1055,1051,1062,1074,1037,1045,1051,1068,1488,1537,1549,1556,1494,1508,1527,1505,1470,1504,1856,1853,1848,1863,1872,1868,1863,1803,1913,1839,2099,2120,2124,2126,2060,2108,2128,2101,2104,2096,2289,2314,2316,2315,2345,2325,2316,2275,2309,2360,2472,2477,2468,2503,2492,2520,2518,2504,2515,2468,2624,2639,2655,2623,2661,2627,2666,2651,2592,2667,2776,2742,2774,2745,2744,2783,2738,2741,2775,2797,2892,2858,2893,2898,2907,2882,2889,2837,2883,2915,Panama-South,Mangrove 130-200cm,Mangrove 100 to 200cm,SSPS1,Mangrove,Brackish,130-200cm,100_to_200,Catotelm
st1_6,1,1,1,1,1,1,1,1,1,1,753,728,720,723,729,730,756,705,716,714,1025,1029,1036,1037,1041,1003,1009,1014,1028,1019,1236,1209,1241,1223,1208,1263,1216,1225,1234,1189,1386,1396,1421,1403,1398,1379,1396,1389,1353,1410,1538,1492,1550,1547,1514,1511,1531,1539,1503,1523,1629,1629,1642,1649,1627,1647,1617,1615,1643,1624,1724,1748,1729,1746,1727,1729,1723,1737,1704,1720,1816,1826,1843,1831,1823,1827,1817,1823,1829,1821,1892,1892,1888,1915,1936,1883,1923,1900,1923,1927,Panama-South,Mangrove 130-200cm,Mangrove 100 to 200cm,SSPS1,Mangrove,Brackish,130-200cm,100_to_200,Catotelm
st1_7,1,1,1,1,1,1,1,1,1,1,722,717,730,745,738,744,716,721,714,753,1032,1027,1004,1062,1024,1052,1033,1048,1041,1034,1197,1208,1233,1228,1251,1219,1200,1218,1262,1229,1401,1385,1352,1391,1381,1366,1356,1372,1367,1373,1515,1488,1492,1489,1514,1464,1494,1492,1496,1510,1604,1609,1587,1629,1623,1591,1577,1618,1609,1605,1661,1682,1675,1688,1666,1690,1684,1697,1667,1689,1747,1750,1775,1737,1756,1761,1714,1756,1765,1750,1802,1815,1820,1797,1827,1820,1814,1805,1801,1811,Panama-South,Mangrove 130-200cm,Mangrove 100 to 200cm,SSPS1,Mangrove,Brackish,130-200cm,100_to_200,Catotelm
st2_1,1,1,1,1,1,1,1,1,1,1,877,871,902,856,888,874,881,899,886,860,1218,1237,1253,1225,1221,1211,1246,1241,1262,1200,1438,1468,1473,1466,1436,1447,1460,1459,1469,1466,1617,1637,1637,1599,1644,1626,1599,1633,1657,1633,1796,1735,1791,1735,1739,1765,1761,1780,1751,1732,1843,1875,1877,1862,1872,1872,1879,1874,1872,1878,1959,1970,1975,1968,1967,1956,1981,1957,1970,1983,2035,2018,2023,2064,2027,2027,2057,2027,2042,2028,2106,2110,2083,2111,2103,2106,2126,2122,2116,2088,Panama-South,Mixed forest 0-4cm,Mixed forest 0 to 30cm,SSPS2,Mixed forest,Freshwater,0-4cm,0_to_30,Acrotelm
st2_2,1,1,1,1,1,1,1,1,1,1,684,682,713,695,681,694,676,719,687,712,968,1021,977,974,1019,959,968,980,986,1002,1186,1165,1189,1190,1170,1172,1190,1192,1178,1191,1364,1313,1311,1311,1337,1320,1306,1297,1281,1328,1452,1408,1420,1440,1400,1427,1449,1429,1406,1424,1498,1507,1508,1491,1510,1493,1526,1505,1508,1508,1587,1564,1551,1576,1556,1557,1554,1555,1568,1574,1634,1611,1628,1634,1609,1645,1614,1631,1614,1627,1667,1669,1672,1679,1658,1662,1681,1697,1674,1656,Panama-South,Mixed forest 5-15cm,Mixed forest 0 to 30cm,SSPS2,Mixed forest,Freshwater,5-15cm,0_to_30,Acrotelm
st2_3,1,1,1,1,1,1,1,1,1,1,700,702,702,708,731,730,724,709,725,731,974,977,977,955,966,974,965,988,959,974,1165,1125,1134,1136,1150,1157,1154,1166,1154,1147,1271,1265,1239,1284,1266,1276,1267,1262,1299,1240,1381,1364,1383,1348,1371,1363,1367,1372,1395,1386,1423,1461,1461,1468,1408,1442,1459,1423,1462,1448,1496,1510,1492,1491,1527,1526,1501,1509,1540,1509,1553,1571,1572,1567,1578,1572,1568,1558,1571,1553,1615,1601,1597,1602,1602,1587,1612,1614,1623,1617,Panama-South,Mixed forest 16-30cm,Mixed forest 0 to 30cm,SSPS2,Mixed forest,Freshwater,16-30cm,0_to_30,Acrotelm
