sample-id	Site_layer	Site_old	Site	Phasic_community	Type	Depth_cm	Depth_group_cm	Depth_layer	pH	Na	K	Sulfate	Nitrate	Phosphate
st1-1A	st1_1	st1	SSPS1	Mangrove	Brackish	1	0_to_30	Acrotelm	6.97	9.8	10.99	2.03	0.03	1.23
st1-1B	st1_1	st1	SSPS1	Mangrove	Brackish	1	0_to_30	Acrotelm	6.97	9.8	10.99	2.03	0.03	1.23
st1-1C	st1_1	st1	SSPS1	Mangrove	Brackish	1	0_to_30	Acrotelm	6.97	9.8	10.99	2.03	0.03	1.23
st1-2A	st1_2	st1	SSPS1	Mangrove	Brackish	16	0_to_30	Acrotelm	7.06	24.5	21.08	4.97	0	0.36
st1-2B	st1_2	st1	SSPS1	Mangrove	Brackish	16	0_to_30	Acrotelm	7.06	24.5	21.08	4.97	0	0.36
st1-2C	st1_2	st1	SSPS1	Mangrove	Brackish	16	0_to_30	Acrotelm	7.06	24.5	21.08	4.97	0	0.36
st1-3A	st1_3	st1	SSPS1	Mangrove	Brackish	41	30_to_100	Catotelm	6.24	31.64	30.1	6.96	0	0.66
st1-3B	st1_3	st1	SSPS1	Mangrove	Brackish	41	30_to_100	Catotelm	6.24	31.64	30.1	6.96	0	0.66
st1-3C	st1_3	st1	SSPS1	Mangrove	Brackish	41	30_to_100	Catotelm	6.24	31.64	30.1	6.96	0	0.66
st1-4A	st1_4	st1	SSPS1	Mangrove	Brackish	113	100_to_200	Catotelm	5.71	24.37	24.08	5.48	0	0.02
st1-4B	st1_4	st1	SSPS1	Mangrove	Brackish	113	100_to_200	Catotelm	5.71	24.37	24.08	5.48	0	0.02
st1-4C	st1_4	st1	SSPS1	Mangrove	Brackish	113	100_to_200	Catotelm	5.71	24.37	24.08	5.48	0	0.02
st1-5A	st1_5	st1	SSPS1	Mangrove	Brackish	136	100_to_200	Catotelm	6.16	21.58	19.9	4.75	0	0.03
st1-5B	st1_5	st1	SSPS1	Mangrove	Brackish	136	100_to_200	Catotelm	6.16	21.58	19.9	4.75	0	0.03
st1-5C	st1_5	st1	SSPS1	Mangrove	Brackish	136	100_to_200	Catotelm	6.16	21.58	19.9	4.75	0	0.03
st1-6A	st1_6	st1	SSPS1	Mangrove	Brackish	181	100_to_200	Catotelm	5.76	30.53	22.76	7.81	0	0.02
st1-6B	st1_6	st1	SSPS1	Mangrove	Brackish	181	100_to_200	Catotelm	5.76	30.53	22.76	7.81	0	0.02
st1-6C	st1_6	st1	SSPS1	Mangrove	Brackish	181	100_to_200	Catotelm	5.76	30.53	22.76	7.81	0	0.02
st1-7A	st1_7	st1	SSPS1	Mangrove	Brackish	200	100_to_200	Catotelm	5.11	17.91	15.85	7.23	0	0.04
st1-7B	st1_7	st1	SSPS1	Mangrove	Brackish	200	100_to_200	Catotelm	5.11	17.91	15.85	7.23	0	0.04
st2-1A	st2_1	st2	SSPS2	Mixed_forest	Freshwater	1	0_to_30	Acrotelm	3.73	14.52	3.71	4.36	0.02	0.39
st2-1B	st2_1	st2	SSPS2	Mixed_forest	Freshwater	1	0_to_30	Acrotelm	3.73	14.52	3.71	4.36	0.02	0.39
st2-1C	st2_1	st2	SSPS2	Mixed_forest	Freshwater	1	0_to_30	Acrotelm	3.73	14.52	3.71	4.36	0.02	0.39
st2-2A	st2_2	st2	SSPS2	Mixed_forest	Freshwater	11	0_to_30	Acrotelm	3.94	22.19	6.29	6.75	0.15	0.37
st2-2B	st2_2	st2	SSPS2	Mixed_forest	Freshwater	11	0_to_30	Acrotelm	3.94	22.19	6.29	6.75	0.15	0.37
st2-2C	st2_2	st2	SSPS2	Mixed_forest	Freshwater	11	0_to_30	Acrotelm	3.94	22.19	6.29	6.75	0.15	0.37
st2-3A	st2_3	st2	SSPS2	Mixed_forest	Freshwater	23	0_to_30	Acrotelm	3.93	5.18	1.56	1.6	0.04	0.28
st2-3B	st2_3	st2	SSPS2	Mixed_forest	Freshwater	23	0_to_30	Acrotelm	3.93	5.18	1.56	1.6	0.04	0.28
st2-3C	st2_3	st2	SSPS2	Mixed_forest	Freshwater	23	0_to_30	Acrotelm	3.93	5.18	1.56	1.6	0.04	0.28
st2-4A	st2_4	st2	SSPS2	Mixed_forest	Freshwater	48	30_to_100	Catotelm	3.66	4.61	3.83	2.01	0.04	0.29
st2-4B	st2_4	st2	SSPS2	Mixed_forest	Freshwater	48	30_to_100	Catotelm	3.66	4.61	3.83	2.01	0.04	0.29
st2-4C	st2_4	st2	SSPS2	Mixed_forest	Freshwater	48	30_to_100	Catotelm	3.66	4.61	3.83	2.01	0.04	0.29
st2-5A	st2_5	st2	SSPS2	Mixed_forest	Freshwater	98	30_to_100	Catotelm	3.97	4.64	0.42	1.34	0.02	0.01
st2-5B	st2_5	st2	SSPS2	Mixed_forest	Freshwater	98	30_to_100	Catotelm	3.97	4.64	0.42	1.34	0.02	0.01
