sample-id,depth-1_iter-1,depth-1_iter-2,depth-1_iter-3,depth-1_iter-4,depth-1_iter-5,depth-1_iter-6,depth-1_iter-7,depth-1_iter-8,depth-1_iter-9,depth-1_iter-10,depth-5556_iter-1,depth-5556_iter-2,depth-5556_iter-3,depth-5556_iter-4,depth-5556_iter-5,depth-5556_iter-6,depth-5556_iter-7,depth-5556_iter-8,depth-5556_iter-9,depth-5556_iter-10,depth-11111_iter-1,depth-11111_iter-2,depth-11111_iter-3,depth-11111_iter-4,depth-11111_iter-5,depth-11111_iter-6,depth-11111_iter-7,depth-11111_iter-8,depth-11111_iter-9,depth-11111_iter-10,depth-16667_iter-1,depth-16667_iter-2,depth-16667_iter-3,depth-16667_iter-4,depth-16667_iter-5,depth-16667_iter-6,depth-16667_iter-7,depth-16667_iter-8,depth-16667_iter-9,depth-16667_iter-10,depth-22222_iter-1,depth-22222_iter-2,depth-22222_iter-3,depth-22222_iter-4,depth-22222_iter-5,depth-22222_iter-6,depth-22222_iter-7,depth-22222_iter-8,depth-22222_iter-9,depth-22222_iter-10,depth-27778_iter-1,depth-27778_iter-2,depth-27778_iter-3,depth-27778_iter-4,depth-27778_iter-5,depth-27778_iter-6,depth-27778_iter-7,depth-27778_iter-8,depth-27778_iter-9,depth-27778_iter-10,depth-33333_iter-1,depth-33333_iter-2,depth-33333_iter-3,depth-33333_iter-4,depth-33333_iter-5,depth-33333_iter-6,depth-33333_iter-7,depth-33333_iter-8,depth-33333_iter-9,depth-33333_iter-10,depth-38889_iter-1,depth-38889_iter-2,depth-38889_iter-3,depth-38889_iter-4,depth-38889_iter-5,depth-38889_iter-6,depth-38889_iter-7,depth-38889_iter-8,depth-38889_iter-9,depth-38889_iter-10,depth-44444_iter-1,depth-44444_iter-2,depth-44444_iter-3,depth-44444_iter-4,depth-44444_iter-5,depth-44444_iter-6,depth-44444_iter-7,depth-44444_iter-8,depth-44444_iter-9,depth-44444_iter-10,depth-50000_iter-1,depth-50000_iter-2,depth-50000_iter-3,depth-50000_iter-4,depth-50000_iter-5,depth-50000_iter-6,depth-50000_iter-7,depth-50000_iter-8,depth-50000_iter-9,depth-50000_iter-10,Site_layer,Site_old,Site,Phasic_community,Type,Depth_group_cm,Depth_layer
st1_1,1,1,1,1,1,1,1,1,1,1,1133,1078,1162,1134,1092,1084,1112,1085,1095,1134,1624,1585,1629,1620,1637,1621,1632,1574,1585,1607,2005,2012,1980,1966,1976,2042,1969,1998,1990,1989,2273,2291,2270,2270,2257,2228,2250,2286,2279,2222,2505,2479,2511,2514,2497,2511,2456,2497,2507,2483,2666,2662,2697,2674,2683,2671,2696,2673,2684,2681,2869,2831,2824,2832,2852,2847,2832,2885,2867,2845,2962,2954,2919,2989,2956,2972,2966,2927,2978,2941,3090,3072,3082,3053,3062,3065,3083,3087,3045,3063,st1_1,st1,SSPS1,Mangrove,Brackish,0_to_30,Acrotelm
st1_2,1,1,1,1,1,1,1,1,1,1,1090,1145,1145,1171,1162,1114,1180,1153,1124,1143,1638,1623,1589,1645,1629,1606,1634,1640,1638,1602,1959,1998,1951,1961,1953,1960,1974,1952,1940,1997,2215,2183,2213,2197,2206,2182,2241,2203,2158,2185,2392,2384,2415,2372,2392,2403,2407,2388,2388,2393,2521,2531,2568,2569,2583,2567,2566,2524,2575,2542,2658,2662,2684,2703,2668,2679,2652,2708,2643,2696,2769,2793,2801,2770,2788,2783,2791,2812,2781,2785,2881,2891,2890,2871,2852,2871,2855,2854,2870,2855,st1_2,st1,SSPS1,Mangrove,Brackish,0_to_30,Acrotelm
st1_3,1,1,1,1,1,1,1,1,1,1,1440,1413,1442,1404,1432,1441,1426,1371,1408,1409,1978,2027,1988,1963,2030,2005,1994,1987,2029,1993,2417,2446,2395,2459,2383,2427,2446,2453,2458,2397,2694,2706,2757,2691,2749,2761,2736,2723,2727,2729,2954,2987,2989,2974,2961,2999,2996,2968,2972,2940,3203,3180,3190,3209,3185,3190,3166,3203,3190,3191,3379,3386,3383,3382,3364,3364,3364,3383,3345,3367,3538,3529,3523,3525,3506,3532,3502,3500,3514,3514,3611,3638,3634,3636,3653,3644,3630,3647,3622,3645,st1_3,st1,SSPS1,Mangrove,Brackish,30_to_100,Catotelm
st1_4,1,1,1,1,1,1,1,1,1,1,1372,1416,1401,1375,1404,1430,1398,1407,1413,1409,1986,2010,2020,1993,1993,2023,1995,2038,1995,1997,2398,2421,2403,2473,2427,2454,2472,2462,2457,2443,2784,2776,2772,2825,2813,2764,2767,2779,2769,2767,3017,3047,3051,3064,3095,3044,3026,3039,3031,3048,3257,3265,3324,3263,3287,3300,3276,3288,3274,3287,3502,3526,3497,3484,3442,3503,3494,3486,3517,3494,3653,3639,3694,3640,3668,3656,3646,3648,3634,3625,3802,3773,3805,3784,3806,3794,3796,3789,3790,3797,st1_4,st1,SSPS1,Mangrove,Brackish,100_to_200,Catotelm
st1_5,1,1,1,1,1,1,1,1,1,1,1303,1313,1353,1286,1307,1302,1302,1271,1345,1311,1857,1870,1869,1854,1808,1833,1821,1827,1819,1816,2145,2189,2182,2178,2214,2182,2220,2155,2209,2212,2462,2475,2459,2471,2512,2466,2468,2456,2487,2503,2681,2714,2678,2710,2708,2666,2648,2672,2679,2667,2860,2861,2847,2824,2869,2865,2856,2862,2844,2882,2985,2998,3028,3026,2977,2989,3002,3014,2986,2985,3109,3091,3103,3119,3107,3106,3097,3127,3099,3099,3201,3202,3201,3186,3177,3190,3181,3187,3189,3197,st1_5,st1,SSPS1,Mangrove,Brackish,100_to_200,Catotelm
st1_6,1,1,1,1,1,1,1,1,1,1,863,917,888,859,908,868,885,882,875,898,1205,1195,1203,1244,1214,1234,1219,1250,1220,1237,1450,1432,1451,1440,1450,1472,1485,1456,1457,1428,1601,1625,1667,1625,1601,1653,1634,1622,1634,1637,1758,1804,1772,1753,1741,1733,1750,1785,1793,1752,1890,1904,1842,1869,1887,1895,1902,1882,1862,1868,1956,2015,1992,2009,2002,1994,1997,2010,2004,1993,2085,2081,2081,2075,2081,2068,2062,2093,2077,2053,2135,2140,2155,2169,2135,2145,2162,2159,2131,2148,st1_6,st1,SSPS1,Mangrove,Brackish,100_to_200,Catotelm
st1_7,1,1,1,1,1,1,1,1,1,1,883,865,888,889,883,890,853,872,878,856,1210,1217,1171,1199,1207,1212,1200,1196,1242,1213,1428,1441,1385,1396,1447,1439,1422,1381,1418,1444,1585,1606,1592,1577,1610,1575,1570,1576,1601,1596,1705,1717,1705,1707,1691,1690,1697,1715,1721,1714,1807,1815,1804,1781,1805,1788,1813,1804,1782,1787,1853,1874,1875,1869,1863,1893,1894,1865,1897,1858,1929,1961,1942,1931,1950,1939,1935,1931,1938,1938,1986,1998,2001,2015,1993,1992,2002,1994,1984,1995,st1_7,st1,SSPS1,Mangrove,Brackish,100_to_200,Catotelm
st2_1,1,1,1,1,1,1,1,1,1,1,1061,1034,1054,1051,1039,1061,1052,1053,1028,1059,1451,1461,1453,1447,1451,1458,1466,1435,1461,1445,1676,1704,1680,1686,1679,1663,1669,1680,1650,1670,1850,1870,1858,1870,1862,1870,1858,1868,1880,1843,1981,1997,1998,1987,1956,1998,1979,1992,1989,1993,2091,2089,2104,2097,2080,2099,2102,2101,2091,2100,2198,2186,2152,2165,2187,2194,2172,2163,2155,2175,2232,2227,2231,2251,2260,2222,2246,2237,2244,2218,2285,2293,2307,2307,2291,2290,2292,2290,2295,2292,st2_1,st2,SSPS2,Mixed_forest,Freshwater,0_to_30,Acrotelm
st2_2,1,1,1,1,1,1,1,1,1,1,874,863,868,871,840,862,851,822,865,865,1164,1175,1155,1178,1172,1172,1170,1178,1207,1172,1328,1385,1357,1379,1357,1371,1375,1363,1361,1369,1527,1478,1486,1521,1465,1504,1516,1488,1505,1491,1599,1620,1606,1577,1581,1590,1590,1605,1608,1580,1687,1674,1659,1628,1655,1673,1664,1677,1671,1666,1722,1712,1714,1731,1716,1732,1732,1711,1718,1736,1752,1771,1761,1774,1752,1765,1779,1765,1762,1759,1799,1799,1795,1796,1795,1800,1795,1804,1786,1798,st2_2,st2,SSPS2,Mixed_forest,Freshwater,0_to_30,Acrotelm
st2_3,1,1,1,1,1,1,1,1,1,1,871,840,897,872,845,863,863,829,846,840,1126,1120,1136,1134,1150,1117,1128,1118,1099,1112,1319,1294,1306,1318,1290,1309,1321,1309,1311,1292,1414,1420,1459,1432,1440,1422,1450,1463,1438,1438,1553,1538,1525,1534,1539,1525,1538,1542,1517,1511,1596,1590,1601,1598,1617,1585,1604,1593,1601,1588,1656,1663,1657,1663,1675,1679,1663,1658,1664,1660,1714,1709,1707,1708,1719,1704,1714,1707,1699,1727,1742,1745,1746,1740,1751,1761,1760,1740,1751,1756,st2_3,st2,SSPS2,Mixed_forest,Freshwater,0_to_30,Acrotelm
