sample-id,depth-1_iter-1,depth-1_iter-2,depth-1_iter-3,depth-1_iter-4,depth-1_iter-5,depth-1_iter-6,depth-1_iter-7,depth-1_iter-8,depth-1_iter-9,depth-1_iter-10,depth-5556_iter-0,depth-5556_iter-1,depth-5556_iter-2,depth-5556_iter-3,depth-5556_iter-4,depth-5556_iter-5,depth-5556_iter-6,depth-5556_iter-7,depth-5556_iter-8,depth-5556_iter-9,depth-5556_iter-10,depth-11111_iter-1,depth-11111_iter-2,depth-11111_iter-3,depth-11111_iter-4,depth-11111_iter-5,depth-11111_iter-6,depth-11111_iter-7,depth-11111_iter-8,depth-11111_iter-9,depth-11111_iter-10,depth-16667_iter-1,depth-16667_iter-2,depth-16667_iter-3,depth-16667_iter-4,depth-16667_iter-5,depth-16667_iter-6,depth-16667_iter-7,depth-16667_iter-8,depth-16667_iter-9,depth-16667_iter-10,depth-22222_iter-1,depth-22222_iter-2,depth-22222_iter-3,depth-22222_iter-4,depth-22222_iter-5,depth-22222_iter-6,depth-22222_iter-7,depth-22222_iter-8,depth-22222_iter-9,depth-22222_iter-10,depth-27778_iter-1,depth-27778_iter-2,depth-27778_iter-3,depth-27778_iter-4,depth-27778_iter-5,depth-27778_iter-6,depth-27778_iter-7,depth-27778_iter-8,depth-27778_iter-9,depth-27778_iter-10,depth-33333_iter-1,depth-33333_iter-2,depth-33333_iter-3,depth-33333_iter-4,depth-33333_iter-5,depth-33333_iter-6,depth-33333_iter-7,depth-33333_iter-8,depth-33333_iter-9,depth-33333_iter-10,depth-38889_iter-1,depth-38889_iter-2,depth-38889_iter-3,depth-38889_iter-4,depth-38889_iter-5,depth-38889_iter-6,depth-38889_iter-7,depth-38889_iter-8,depth-38889_iter-9,depth-38889_iter-10,depth-44444_iter-1,depth-44444_iter-2,depth-44444_iter-3,depth-44444_iter-4,depth-44444_iter-5,depth-44444_iter-6,depth-44444_iter-7,depth-44444_iter-8,depth-44444_iter-9,depth-44444_iter-10,depth-50000_iter-1,depth-50000_iter-2,depth-50000_iter-3,depth-50000_iter-4,depth-50000_iter-5,depth-50000_iter-6,depth-50000_iter-7,depth-50000_iter-8,depth-50000_iter-9,depth-50000_iter-10,Site_layer,Site_old,Site,Phasic_community,Type,Depth_group_cm,Depth_layer
st1_1,1,1,1,1,1,1,1,1,1,1,0,2267.918033,2231.695652,2305.090452,2213.578947,2071.064516,2197.522989,2320.482759,1983.5,2202.954545,2460.017964,2822.424561,2959.133858,2847.810526,3059.496094,2808.850847,2882.664234,2973.759542,2587.088737,2659.250836,2908.377358,3288.110803,3197.178378,3059.766756,3180.0625,3298.440828,3464.653295,3150.228814,3233.785714,3178.619178,3236.041322,3503.253012,3500.845972,3467.372881,3331.940639,3447.321513,3330.584112,3449.289855,3652.682171,3509.253012,3380.485149,3563.512245,3506.345455,3588.510246,3551.208333,3504.001992,3575.058116,3552.561822,3536.153846,3580.414784,3519.546973,3797.307229,3504.360424,3667.363971,3644.259669,3684.767486,3684.201536,3667.367089,3596.072824,3674.460674,3577.768402,3749.855974,3614.520458,3697.031524,3700.347676,3694.797005,3672.619835,3679.724613,3753.745902,3788.626087,3680.01005,3674.887324,3643.404255,3594.772586,3719.877898,3713.540717,3738.459588,3692.470681,3689.119205,3768.099057,3634.087302,3700.925501,3784.877971,3747.15625,3678.477612,3749.010736,3648.766234,3710.347639,3719.916667,3652.375,3739.483871,st1_1,st1,SSPS1,Mangrove,Brackish,0_to_30,Acrotelm
st1_2,1,1,1,1,1,1,1,1,1,1,0,1869.805,2135.415385,2215.458564,2229.348958,2253.513514,1948.538462,2149.842365,2104.597015,2304.685185,2209.581522,2707.06383,2590.852349,2688.560484,2734.052817,2910.012146,2668.054945,2531.009404,2619.191126,2718.760563,2521.376271,2938.222841,3223.826087,2789.549479,2894.199454,2855.008,2900.598901,3020.722689,2871.430518,2862.991379,2959.502674,3228.739796,3016.088235,3247.055263,3146.786432,3091.779376,3112.954315,3264.75,3086.28169,3043.1525,3115.767089,3225.436285,3223.390411,3177.3,3292.394089,3291.276498,3239.46696,3298.06181,3196.028571,3220.322222,3172.775681,3170.777778,3262.758763,3421.197452,3275.11546,3276.376181,3255.096712,3178.001845,3102.601852,3281.447876,3209.110902,3228.796703,3241.505495,3299.76087,3329.25,3196.905263,3269.23775,3223.97026,3372.945794,3261.402299,3285.509632,3196.789389,3287.725,3371.149385,3273.918089,3274.478188,3280.325901,3285.779863,3298.750408,3266.201342,3326.930796,3289.735669,3291.926267,3304.287284,3314.888707,3291.809917,3240.622727,3259.828711,3235.977953,3239.387097,3268.682645,st1_2,st1,SSPS1,Mangrove,Brackish,0_to_30,Acrotelm
st1_3,1,1,1,1,1,1,1,1,1,1,0,2700.189076,2622.958159,2794.816964,2595.459916,2939.123223,2842.534247,2581.26506,2533.707207,2575.584034,2666.254464,3177.381356,3418.679525,3320.622754,3227.816514,3217.037736,3470.832278,3348.89759,3237.372093,3491.584848,3403.470769,3868.168734,3966.970874,3596.731034,4003.29,3737.637037,3689.196388,3763.697517,3977.671533,3772.062222,3756.051724,4005.498938,3853.378218,4308.046667,3816.392578,4075.322105,4162.362705,4066.452282,4114.296774,3974.779762,4062.6375,4075.027027,4056.52551,4162.490231,4211.830882,4056.704861,4205.385435,4119.135889,4135.679856,4105.00177,4051.010733,4174.198157,4134.496172,4124.612214,4315.956739,4153.206897,4150.794025,4110.613419,4248.870866,4185.872642,4082.014903,4287.405882,4293.5625,4212.224688,4150.702957,4283.506686,4207.897436,4295.392216,4265.738506,4301.505295,4170.263889,4246.384217,4273.544607,4372.421429,4323.029248,4301.474412,4270.389253,4227.208054,4277.601399,4314.312155,4313.259259,4230.653696,4244.914286,4341.87251,4253.073474,4283.784217,4282.854777,4238.425903,4310.102199,4271.101911,4263.487593,st1_3,st1,SSPS1,Mangrove,Brackish,30_to_100,Catotelm
st1_4,1,1,1,1,1,1,1,1,1,1,0,2625.898678,2770.052402,2739.922078,2586.43913,2829.304147,2899.171053,2788.821918,2875.546296,2757.292035,2523.965116,3526.256966,3489.501466,3506.695266,3361.029412,3473.53012,3613.30303,3455.121302,3634.878049,3694.449511,3361.439655,3837.166667,3925.711165,3942.814536,3937.475446,4052.45122,4023.906024,3996.178082,3903.553571,4070.644068,3959.892523,4294.628866,4346.4,4315.756098,4469.829615,4619.848812,4226.002012,4092.623301,4240.387674,4138.437743,4278.89117,4356.555556,4507.15608,4418.096257,4494.795332,4640.531022,4313.186964,4432.566604,4306.471503,4519.373606,4471.130357,4502.023885,4561.420792,4625.122257,4581.688418,4611.604538,4697.142857,4425.313725,4553.015924,4509.672334,4560.015823,4685.601148,4735.855263,4642.55794,4535.479167,4504.302632,4642.583569,4584.036364,4557.615599,4651.014184,4686.501471,4711.171582,4548.806533,4656.284818,4620.104,4619.086683,4696.625509,4553.965866,4644.531746,4660.128859,4618.6875,4674.934146,4641.903226,4611.753278,4596.564226,4655.694245,4656.214724,4649.430657,4670.922509,4648.254902,4588.415385,st1_4,st1,SSPS1,Mangrove,Brackish,100_to_200,Catotelm
st1_5,1,1,1,1,1,1,1,1,1,1,0,2333.625,2377.863636,2375.291667,2452.376963,2350.195455,2343.861905,2307.362791,2455.759563,2486.582569,2509.29064,3111.081433,3150.636656,3081.780864,3159.451827,2885.238854,3007.610224,3009.633333,3056.210526,2970.051282,2849.34891,3260.367568,3424.938503,3242.761194,3182.964029,3233.044917,3230.871795,3355.583535,3140.314861,3315.799007,3356.59542,3379.572614,3408.281573,3450.487342,3508.4,3653.643326,3393.566735,3423,3457.074561,3466.880694,3457.037328,3509.220974,3588.371377,3454.703704,3608.795158,3576.696858,3460.840951,3440.633028,3438.550373,3511.374302,3552.609037,3565.030151,3580.975,3497.273476,3513.90625,3582.791667,3593.02385,3537.004983,3572.487395,3500.448675,3545.085443,3531.004615,3616.399038,3641.596626,3664.471338,3495.284858,3536.757296,3548.289747,3549.814815,3565.5,3579.907767,3550.142651,3563.566372,3525.631728,3616.516418,3565.316176,3531.708451,3532.30479,3584.232295,3572.114035,3528.717115,3568.693732,3562.5,3563.001376,3517.212081,3511.678523,3573.160511,3500.206943,3532.626741,3532.346101,3533.020661,st1_5,st1,SSPS1,Mangrove,Brackish,100_to_200,Catotelm
st1_6,1,1,1,1,1,1,1,1,1,1,0,1464.821429,1575.6,1480.877551,1330.874172,1566.647887,1453.654676,1606.674419,1560.198529,1673.181818,1647.481203,1975.532609,1921.710526,1834.456221,1958.241379,1965.815789,2122.780899,1945.848485,2074.201031,1951.84456,2074.005405,2458.346734,2241.888889,2289.763636,2221.304348,2397.1,2279.617284,2242.54065,2280.475983,2356.306604,2265.352941,2303.205224,2383.159696,2513.921348,2374.168539,2170.051724,2544.549618,2386.603704,2335.959854,2357.763441,2469.030888,2605.578947,2670.961131,2527.784983,2497.053571,2478.810526,2436.58885,2420.529605,2497.373737,2489.009317,2476.571918,2553.018293,2538.340058,2404.863636,2452.612717,2536.045455,2514.031792,2579.029155,2529.063636,2426.710526,2519,2445.532258,2656.069832,2679.044379,2645.098901,2691.00289,2619.664789,2660.263768,2643.02439,2752.79257,2660.044248,2615.308511,2611.02584,2742.65625,2664.733154,2538.129584,2585.979798,2560.425316,2631.64467,2662.623342,2541.604061,2665.598972,2573.795824,2664.280702,2675.560976,2600.454094,2628.613139,2677.056511,2603.006787,2618.842893,2659.224691,st1_6,st1,SSPS1,Mangrove,Brackish,100_to_200,Catotelm
st1_7,1,1,1,1,1,1,1,1,1,1,0,1458.42069,1483.944882,1544.272059,1476.190789,1466.085106,1392.537975,1341.395973,1478.151079,1394.359477,1488.423077,1802.088235,1851.374384,1712.725,1819.049505,1778.694836,1894.242268,1924.401099,1864.016129,1824.040359,1870.772277,2095.511013,2039.724409,1896.376033,1909.059761,2262.639423,2007.365759,1927.29434,1882,1997.920502,2047.988506,2073.185185,2260.217557,2126.376271,2158.701107,2159.413793,2089.424561,2029.818792,2009.343042,2176.1,2145.053571,2153.664557,2158.134185,2133.332326,2158.265176,2179.889655,2133.633663,2147.351266,2182.942122,2199.717105,2194.493421,2187.252976,2218.017647,2193.774775,2159.814024,2213.505917,2259.620339,2202.626087,2133.691011,2216.75,2115.025788,2140.656676,2229.902367,2193.498567,2211.186589,2207.387574,2219.027778,2213.316062,2146.138211,2244.493036,2237.479495,2188.338983,2220.488127,2256.017241,2248.45509,2230.625,2224.785124,2234.914773,2154.798429,2183.03876,2179.249337,2192.236364,2265.244565,2219.587786,2262.755906,2208.041237,2204.667546,2254.292683,2223.955145,2183.007634,2211.28534,st1_7,st1,SSPS1,Mangrove,Brackish,100_to_200,Catotelm
st2_1,1,1,1,1,1,1,1,1,1,1,0,1909.97006,1660.142857,1680.25,1678.50495,1667.857143,1819.653846,1780.8125,1768.961538,1611.148148,1732.530055,2196.42,2325.96875,2104.984733,2213.836207,2119.906977,2229.925926,2211.755102,2119.918699,2135.47451,2103.694656,2329.440972,2397.003509,2289.121622,2233.555215,2353.092527,2225.062092,2206.540717,2429.609023,2186.109215,2193.888889,2403.839623,2477.531056,2361.887283,2523.248408,2418.618462,2391.5,2416.470769,2475.246835,2369.80663,2383.74772,2420.326761,2431.689655,2462.840541,2387.961853,2357.62465,2470.190083,2409.831492,2462.454545,2374.140306,2442.319672,2480.081365,2524.645251,2508.066667,2470.519685,2397.034739,2488.621212,2484.48072,2515.459103,2491.576503,2511.44,2547.112532,2529.779221,2485.111702,2480.331707,2526.104738,2506.977778,2515.779221,2505.970588,2490.790885,2495.332481,2487.617433,2477.812968,2485.179551,2500.804651,2587.788204,2445.185273,2491.868966,2489.785024,2534.30303,2481.266833,2490.507212,2522.515,2527.657895,2542.560976,2515.75188,2473.028369,2479.383178,2484.085648,2538.02551,2470.223256,st2_1,st2,SSPS2,Mixed_forest,Freshwater,0_to_30,Acrotelm
st2_2,1,1,1,1,1,1,1,1,1,1,0,1405.922156,1544,1503.377358,1488.030675,1531.030534,1316.5,1282.901099,1407.964539,1429,1449.453988,1658.470588,1681.553097,1585.067511,1639.117647,1623.004405,1668.588235,1671.444915,1738.169014,1698,1653.859729,1684.126482,1804.261364,1797.45977,1892.982979,1746.511364,1813.74,1765.278571,1762.218391,1769.011494,1848,1860.091503,1810.132616,1868.271375,1878.177474,1804.044944,1848.385159,1981.425101,1866.63806,1980.416667,1857.180812,1887.782051,1957.901695,1932.626298,1814.789969,1839.445205,1842.405751,1884.607509,1971.33574,1946.530909,1850.702797,1992.261168,1878.765579,1877.582803,1871.431579,1909.020619,1899.2,1958.852941,1941.238411,1918.59596,1940.964664,1900.396104,1880.586957,1884.208202,1913.373418,1882.509146,1909.323077,1969.03125,1887.25,1910.286624,1956.441558,1895.712903,1939.448845,1913.047619,1934.003096,1887.82622,1936.627063,1949.003289,1890.089552,1899.793103,1908.509868,1892.210526,1930.693069,1920.00974,1881.017493,1904.236422,1922.62623,1895.907975,1909.854489,1895.72293,1906.090634,st2_2,st2,SSPS2,Mixed_forest,Freshwater,0_to_30,Acrotelm
st2_3,1,1,1,1,1,1,1,1,1,1,0,1389.6875,1339.235294,1464.186667,1421.085106,1371.763359,1366.106667,1443.575758,1327.470149,1399.71875,1301.319444,1614.096591,1674.36646,1687.305556,1543.099526,1661.081967,1593.571429,1737.551515,1583.805556,1494.109948,1462.014354,1720.407725,1700.221239,1757.12844,1846.512195,1699.359447,1674.790984,1714.142259,1775.214286,1795.766355,1744.625,1812.672566,1759.830508,1871.049383,1899.88785,1801.972656,1911.50237,1893.156522,1902.958506,1875.15859,1792.280488,1876.260563,1870.368421,1886.596774,1892.345098,1876.760456,1853.554217,1903.26506,1862.271429,1805.086643,1824.445344,1869.575188,1860.923954,1867.703704,1871.575188,1939.951128,1862.751908,1849.694079,1874.191011,1893.178571,1869.191011,1936.141791,1936.575188,1933.451128,1887.618729,1919.85567,1951.303571,1918.333333,1940.528517,1921.29927,1876.878571,1946.735192,1922.47973,1898.9375,1913.344086,1932.073684,1924.021739,1903.079208,1904.421429,1898.896552,1963.703297,1935.119565,1930.553191,1922.385666,1913.526316,1906.594595,1943.23127,1940.565972,1930.487179,1934.164948,1958.699275,st2_3,st2,SSPS2,Mixed_forest,Freshwater,0_to_30,Acrotelm
