SampleID,st1_1,st1_2,st1_3,st1_4,st1_5,st1_6,st1_7,st2_1,st2_2,st2_3,st2_4,st2_5,st2_6,st2_7,st4_1,st4_2,st4_3,st4_4,st4_5,st4_6,st4_7,st5_1,st5_2,st5_3,st5_4,st5_5,st5_6,st5_7
Crenarchaeota-Bathyarchaeia,0.034169634,0.041448648,0.086076556,0.223773147,0.218270156,0.339244707,0.46616571,0.005613783,0.006040923,0.217454113,0.338429637,0.724469039,0.778871347,0.819014629,0.352369624,0.130393775,0.008092963,0.666462283,0.813181111,0.735746039,0.739864772,0.078187682,0.350437427,0.37914661,0.630033456,0.774253819,0.71082823,0.688101611
Proteobacteria-Gammaproteobacteria,0.286274185,0.034240187,0.010549773,0.042181605,0.014840978,0.001234486,0.001605517,0.307279253,0.533603688,0.019218785,0.016340299,0.001721268,0.003787519,0.002743002,0.047083539,0.291912285,0.630532299,0.002719869,0.000705228,0.006966614,0.002135173,0.158027216,0.005519755,0.006151587,0.003199019,0.0078033,0.007595004,0.001557111
Acidobacteriota-Acidobacteriae,0.000483012,0.000774593,0.001057798,0.007719074,0.008373959,0.010128095,0.005750908,0.230179469,0.123359359,0.15336789,0.110453995,0.038180861,0.04439135,0.021064847,0.12821305,0.174168135,0.148308864,0.063138698,0.02681197,0.017051049,0.014508226,0.27433336,0.16446725,0.17149384,0.11273876,0.048562591,0.049166956,0.040343337
Crenarchaeota-Nitrososphaeria,0.000317408,0.000221312,0.000676991,0.003119626,0.002653136,0.000769894,0.000947518,0.044393396,0.043514841,0.360398255,0.363385465,0.134927522,0.055373797,0.034516106,0.213528794,0.139964215,0.01476167,0.11778763,0.059412133,0.055180953,0.044003723,0.022465193,0.070738602,0.1209105,0.048465137,0.0506822,0.079413259,0.099526432
Chloroflexi-Dehalococcoidia,0.052662085,0.074092224,0.164536967,0.183831274,0.230424833,0.266702064,0.21646839,7.18E-05,0.000151444,0.000708135,0.002292607,0.004708594,0.009964297,0.032863272,0.001374815,0.000124832,0.000212973,0.006823256,0.008688941,0.05479309,0.06490378,0.000173051,0.000254552,0.006690055,0.021313464,0.005809298,0.009707699,0.020126628
Proteobacteria-Alphaproteobacteria,0.031257763,0.017357214,0.009068856,0.003652895,0.005787152,0.003079578,0.001131758,0.131012204,0.080248368,0.058237027,0.025948803,0.004708594,0.004072601,0.000298917,0.044117647,0.064538053,0.099844264,0.007467849,0.001210863,0.000641466,0.000506419,0.116447731,0.02861698,0.039063392,0.008690668,0.00312446,0.00620437,0.001055232
Chloroflexi-Anaerolineae,0.071430543,0.10553439,0.111491918,0.063885667,0.059264418,0.045091923,0.056680002,0.000445083,0.000387023,0.00067981,0.00045268,7.11E-05,0.002090602,0.001846251,0.00023171,0.000443846,0.000519121,0.000393045,0.000252818,0.002953725,0.004325094,0.002045151,0.001326349,0.002969732,0.001332925,0.000361119,0.000668574,0.000810727
Sva0485-Undefined,0.003215478,0.003793927,0.017108121,0.05183378,0.052847146,0.056534147,0.041822393,0.00034458,0.000269233,0.007619533,0.01003198,0.019730572,0.01554376,0.016739344,0.008696861,0.009057242,0.000119797,0.027874729,0.021462882,0.016752693,0.016752895,0.000141587,0.000375129,0.011650485,0.015155352,0.021353095,0.027063889,0.021130386
Firmicutes-Clostridia,0.046755541,0.317820389,0.004456856,0.00130651,0.004195271,0.002216765,0.001526557,0.000603015,0.000959144,0.000467369,0.000116821,2.85E-05,9.50E-05,0.000175833,0.000262605,0.013135082,0.000705472,0.00017294,5.32E-05,0.000149178,0.000150557,0.00342956,0.003295776,0.002023334,0.000586487,0.000486725,0.003423101,0.018646729
Firmicutes-Bacilli,0.175871491,0.063643118,0.093904262,0.053486915,0.010546214,0.001898188,0.00948834,0.001134243,0.000992798,0.000169952,8.76E-05,0.000142254,0.000162904,5.28E-05,0.000401631,0.000513197,0.00033277,9.43E-05,0.000119756,2.98E-05,2.74E-05,0.000550617,0.000750258,0.000326344,0.000199939,7.85E-05,5.35E-05,6.43E-05
Archaea-Other,0.048618586,0.0529727,0.070181377,0.035502406,0.03659669,0.030145351,0.023701111,0.003058148,0.000572121,0.011344324,0.006965436,0.007283383,0.021869867,0.019675763,0.032686604,0.01165097,0.001544052,0.017970003,0.017896824,0.038726616,0.040937834,0.035302446,0.104111681,0.041429387,0.028817829,0.01617183,0.023560559,0.044731559
Bacteria-Other,0.248944274,0.288101298,0.430890525,0.329707102,0.356200046,0.242954802,0.174711797,0.275865039,0.209901057,0.170334806,0.125494663,0.064028337,0.06377693,0.051009284,0.171033119,0.164098367,0.095025756,0.089095368,0.05020425,0.071008742,0.071884153,0.308896405,0.270106242,0.218144734,0.129466963,0.071313058,0.082314872,0.063905904
