SampleID,st1_1,st1_2,st1_3,st1_4,st1_5,st1_6,st1_7,st2_1,st2_2,st2_3,st2_4,st2_5,st2_6,st2_7,st4_1,st4_2,st4_3,st4_4,st4_5,st4_6,st4_7,st5_1,st5_2,st5_3,st5_4,st5_5,st5_6,st5_7
Crenarchaeota,0.034487041,0.04166996,0.086753547,0.226892773,0.220923291,0.340014601,0.467113228,0.050035894,0.049555765,0.578121459,0.701990333,0.860150504,0.838521374,0.85444507,0.566145576,0.270455081,0.022854633,0.785083168,0.87361782,0.794581854,0.788289398,0.101879965,0.423252636,0.50268418,0.680524639,0.826207784,0.791658867,0.788194266
Proteobacteria,0.317545748,0.051597401,0.019646836,0.0458345,0.02062813,0.004314064,0.002737274,0.438348887,0.613936192,0.077455812,0.042289102,0.006429862,0.00786012,0.003041919,0.091201186,0.356450338,0.7306694,0.010187718,0.001916091,0.007608079,0.002641592,0.274474947,0.034136735,0.045214979,0.011889687,0.010927761,0.013799374,0.002612344
Acidobacteriota,0.023584775,0.036421695,0.083298073,0.07644416,0.075398799,0.063848145,0.047415381,0.236223977,0.129265666,0.157730002,0.11533126,0.044539596,0.049604279,0.031491771,0.130700074,0.178024051,0.150105821,0.068295444,0.031229625,0.022689978,0.018436396,0.292031778,0.165632829,0.177319083,0.117017448,0.052770407,0.054341722,0.047343903
Chloroflexi,0.133656261,0.20153654,0.304095794,0.267087949,0.313766458,0.338288976,0.289743117,0.006231156,0.014303022,0.004064695,0.004745842,0.005092678,0.012217803,0.034709523,0.019834404,0.007489909,0.001783646,0.009967613,0.009886498,0.059656294,0.070994498,0.024903642,0.009445211,0.019939626,0.027778148,0.00857264,0.011405878,0.021220466
Firmicutes,0.223220447,0.382016788,0.099193253,0.055153382,0.015686665,0.004327338,0.011225457,0.002713568,0.002389446,0.005636755,0.003577635,0.001138029,0.00200915,0.000703334,0.002178077,0.01708809,0.001371012,0.00105336,0.001756417,0.000507205,0.000328488,0.039188233,0.058694283,0.027004977,0.021526732,0.003956603,0.006217741,0.01892984
Desulfobacterota,0.026924457,0.026747182,0.041902908,0.030516338,0.028305641,0.015610274,0.012212455,0.013438622,0.003516861,0.021329028,0.021611834,0.02503663,0.007900846,0.004220003,0.040209466,0.020888525,0.002236213,0.020155331,0.013559006,0.004922875,0.004722017,0.030661528,0.109095537,0.067226891,0.032216787,0.016925468,0.017570133,0.009574304
Planctomycetota,0.009729237,0.010543954,0.017277369,0.022797264,0.028720194,0.024596801,0.018437122,0.044206748,0.028807969,0.019785293,0.011711278,0.007112679,0.009421283,0.009864257,0.03253213,0.043718879,0.018169233,0.01257743,0.006360358,0.013396187,0.016752895,0.078407929,0.044600153,0.017655217,0.016488277,0.010488138,0.014588292,0.009162506
Sva0485,0.003215478,0.003793927,0.017108121,0.05183378,0.052847146,0.056534147,0.041822393,0.00034458,0.000269233,0.007619533,0.01003198,0.019730572,0.01554376,0.016739344,0.008696861,0.009057242,0.000119797,0.027874729,0.021462882,0.016752693,0.016752895,0.000141587,0.000375129,0.011650485,0.015155352,0.021353095,0.027063889,0.021130386
Actinobacteriota,0.03851674,0.036880128,0.024230628,0.005932621,0.01485756,0.006690117,0.001368637,0.114185212,0.098101905,0.011386812,0.008600926,0.000455211,0.001669766,0.0001055,0.004974048,0.028170382,0.03303739,0.002971418,0.001064495,0.00149178,0.001998303,0.029198458,0.010235661,0.009268173,0.002265972,0.001444474,0.00386436,0.000437535
Spirochaetota,0.021252519,0.02749016,0.034046994,0.024717034,0.027559447,0.017641203,0.014897089,0.005800431,0.002086559,0.0149983,0.005841036,0.003570565,0.004479861,0.000949501,0.019123826,0.016186526,0.00335432,0.010297771,0.002900749,0.002013903,0.001450823,0.017840006,0.021918249,0.023154116,0.017048105,0.010284028,0.007033402,0.003719051
Archaea-Other,0.048618586,0.0529727,0.070181377,0.035502406,0.03659669,0.030145351,0.023701111,0.003029433,0.000572121,0.011075232,0.006790205,0.006529439,0.017593636,0.018761429,0.032439446,0.011553879,0.001544052,0.017136748,0.016872247,0.035071755,0.036516931,0.034075356,0.102035075,0.038802317,0.026791784,0.014900064,0.022143182,0.044165337
Bacteria-Other,0.11924871,0.128329566,0.202265098,0.157287792,0.164709979,0.097988983,0.069326736,0.085441493,0.057195261,0.090797077,0.067478571,0.020214234,0.033178122,0.02496835,0.051964904,0.040917098,0.034754482,0.034399271,0.019373811,0.041307396,0.041115765,0.07719657,0.020578502,0.060079954,0.031297069,0.022169537,0.03031316,0.033510063
